"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"54",6,"Marquez Valdes-Scantling",KC,"8","2 out of 5 stars","-1"
"55",6,"Jarvis Landry",NO,"14","4 out of 5 stars","-5"
"56",6,"DeVante Parker",NE,"10","4 out of 5 stars","-2"
"57",6,"Rondale Moore",ARI,"13","2 out of 5 stars","+3"
"58",6,"DJ Chark Jr.",DET,"6","3 out of 5 stars","+6"
"59",6,"Skyy Moore",KC,"8","2 out of 5 stars","-1"
"60",7,"Tim Patrick",DEN,"9","4 out of 5 stars","+6"
"61",7,"Corey Davis",NYJ,"10","1 out of 5 stars","+7"
"62",7,"Jameson Williams",DET,"6","3 out of 5 stars","-1"
"63",7,"Van Jefferson",LAR,"7","2 out of 5 stars","-7"
"64",7,"Mecole Hardman",KC,"8","2 out of 5 stars","+1"
"65",7,"Robbie Anderson",CAR,"13","3 out of 5 stars","+7"
"66",7,"Jahan Dotson",WAS,"14","4 out of 5 stars","+7"
"67",7,"Jamison Crowder",BUF,"7","4 out of 5 stars","+14"
"68",7,"Sterling Shepard",NYG,"9","4 out of 5 stars","+21"
"69",7,"Marvin Jones Jr.",JAC,"11","4 out of 5 stars","+7"
