year,week,away_team,away_points,home_team,home_points
2014,9,the full Nelson,69.62,Manning United FC,117.92
2014,9,The Inconvenient Truth,86.92,Cooper Clux Clan,115.42
2014,10,Another Hillarious Season,102.08,Struggle City,122.16
2014,10,Cooper Clux Clan,46.04,The Real McCoy,100.00
2014,10,Switches and Bitches,112.76,The Real Slim Brady,71.88
2014,10,the full Nelson,98.94,Beats by Tre,84.10
2014,10,The Inconvenient Truth,94.74,Flaccoroni and Cheese,102.74
2014,10,Cops and Rodgers,91.32,Manning United FC,127.24
2014,11,Another Hillarious Season,111.44,The Real McCoy,77.86
2014,11,The Real Slim Brady,75.54,Cops and Rodgers,104.46
2014,11,Manning United FC,86.40,Cooper Clux Clan,75.72
2014,11,Flaccoroni and Cheese,92.52,Struggle City,123.04
2014,11,the full Nelson,100.20,The Inconvenient Truth,72.94
2014,11,Switches and Bitches,61.54,Beats by Tre,96.02
2014,12,Another Hillarious Season,110.36,the full Nelson,76.50
2014,12,Beats by Tre,108.94,Manning United FC,151.96
2014,12,The Real McCoy,111.46,The Inconvenient Truth,84.16
2014,12,Cops and Rodgers,85.24,Flaccoroni and Cheese,71.32
2014,12,The Real Slim Brady,78.24,Struggle City,130.58
2014,12,Switches and Bitches,117.70,Cooper Clux Clan,79.76
2014,13,Another Hillarious Season,71.12,Flaccoroni and Cheese,114.50
2014,13,The Real McCoy,103.90,Manning United FC,99.44
2014,13,Struggle City,131.96,The Inconvenient Truth,115.76
2014,13,the full Nelson,91.24,Switches and Bitches,102.36
2014,13,The Real Slim Brady,120.28,Beats by Tre,165.56
2014,13,Cops and Rodgers,104.72,Cooper Clux Clan,67.60
2014,14,Cops and Rodgers,71.84,Flaccoroni and Cheese,140.50
2014,14,The Real McCoy,115.42,Manning United FC,75.46
2014,15,Switches and Bitches,117.60,Flaccoroni and Cheese,83.20
2014,15,The Real McCoy,90.56,Beats by Tre,136.02
2014,16,Switches and Bitches,109.00,Beats by Tre,107.32
2015,1,Mark Instagram It,107.86,Lynch Don't Kill My Vibe,100.36
2015,1,Ridin Dirty in the DMC,105.46,TEFLON TOM,125.06
2015,1,Yippee Kai A Justin Tucker,81.70,Saved by the Bell,66.64
2015,1,Hyde your Kids Hyde your Wife,123.72,Don't Vontaze Me Breaux,92.42
2015,1,Edward ForteHands,124.24,Valar Almorris,79.74
2015,1,Gronk if you have RB Blues,123.48,Welcome to the Space Jameis,83.70
2015,2,Mark Instagram It,81.74,Edward ForteHands,65.54
2015,2,Yippee Kai A Justin Tucker,101.14,Ridin Dirty in the DMC,89.52
2015,2,TEFLON TOM,72.04,Hyde your Kids Hyde your Wife,76.60
2015,2,Saved by the Bell,98.34,Don't Vontaze Me Breaux,97.72
2015,2,Lynch Don't Kill My Vibe,67.48,Gronk if you have RB Blues,99.10
2015,2,Valar Almorris,98.46,Welcome to the Space Jameis,135.08
2015,3,Mark Instagram It,141.54,Gronk if you have RB Blues,91.58
2015,3,Ridin Dirty in the DMC,130.58,Hyde your Kids Hyde your Wife,60.88
2015,3,Don't Vontaze Me Breaux,79.96,Yippee Kai A Justin Tucker,122.30
2015,3,Saved by the Bell,116.84,TEFLON TOM,84.56
2015,3,Welcome to the Space Jameis,150.04,Edward ForteHands,95.96
2015,3,Valar Almorris,87.40,Lynch Don't Kill My Vibe,112.08
2015,4,Mark Instagram It,94.42,Welcome to the Space Jameis,90.54
2015,4,Don't Vontaze Me Breaux,95.72,Ridin Dirty in the DMC,95.44
2015,4,Hyde your Kids Hyde your Wife,70.32,Saved by the Bell,63.24
2015,4,Yippee Kai A Justin Tucker,87.12,TEFLON TOM,94.98
2015,4,Gronk if you have RB Blues,108.16,Valar Almorris,54.20
2015,4,Edward ForteHands,72.60,Lynch Don't Kill My Vibe,81.34
2015,5,Mark Instagram It,89.96,Valar Almorris,122.88
2015,5,Ridin Dirty in the DMC,82.52,Saved by the Bell,74.72
2015,5,TEFLON TOM,81.56,Don't Vontaze Me Breaux,94.50
2015,5,Yippee Kai A Justin Tucker,105.26,Hyde your Kids Hyde your Wife,101.24
2015,5,Lynch Don't Kill My Vibe,83.56,Welcome to the Space Jameis,142.74
2015,5,Edward ForteHands,84.74,Gronk if you have RB Blues,79.04
2015,6,Mark Instagram It,92.38,Ridin Dirty in the DMC,114.82
2015,6,Lynch Don't Kill My Vibe,95.06,TEFLON TOM,124.68
2015,6,Edward ForteHands,120.52,Yippee Kai A Justin Tucker,90.30
2015,6,Gronk if you have RB Blues,106.06,Hyde your Kids Hyde your Wife,83.28
2015,6,Welcome to the Space Jameis,106.18,Don't Vontaze Me Breaux,86.22
2015,6,Valar Almorris,98.10,Saved by the Bell,95.72
2015,7,Mark Instagram It,88.62,TEFLON TOM,170.24
2015,7,Yippee Kai A Justin Tucker,82.70,Lynch Don't Kill My Vibe,102.90
2015,7,Hyde your Kids Hyde your Wife,94.04,Edward ForteHands,72.14
2015,7,Don't Vontaze Me Breaux,107.14,Gronk if you have RB Blues,106.22
2015,7,Saved by the Bell,104.46,Welcome to the Space Jameis,81.76
2015,7,Ridin Dirty in the DMC,148.10,Valar Almorris,83.42
2015,8,Mark Instagram It,132.28,Yippee Kai A Justin Tucker,101.80
2015,8,Lynch Don't Kill My Vibe,99.50,Hyde your Kids Hyde your Wife,101.02
2015,8,Edward ForteHands,57.42,Don't Vontaze Me Breaux,108.88
2015,8,Gronk if you have RB Blues,82.94,Saved by the Bell,84.46
