profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost
2500150,2005,15,302,565,3759,20,12,17,39,1,0,0,0,4
2500835,2005,16,0,0,0,0,0,0,0,0,905,78,2,0
2501078,2005,16,294,449,3459,24,9,36,124,1,0,0,0,2
2501863,2005,16,305,453,3747,28,10,33,45,0,0,0,0,2
2501898,2005,16,0,0,0,0,0,0,0,0,1073,86,3,1
2502044,2005,9,211,357,2507,16,9,25,55,1,0,0,0,3
2502220,2005,16,0,0,0,0,0,0,0,0,1005,60,8,0
2502377,2005,7,0,0,0,0,0,1,2,0,763,47,6,0
2503532,2005,15,0,0,0,0,0,3,10,0,975,69,11,1
2503715,2005,12,0,0,0,0,0,168,743,6,93,0,185,1
2504211,2005,16,334,530,4110,26,14,27,89,1,0,0,0,3
2504252,2005,15,0,0,0,0,0,314,1335,9,143,0,363,2
2504253,2005,16,0,0,0,0,0,0,0,0,1214,76,7,1
2504531,2005,15,214,387,2412,15,13,102,597,6,0,0,0,5
2504595,2005,16,0,0,0,0,0,4,25,1,1563,103,12,1
2504651,2005,16,0,0,0,0,0,5,33,0,1432,97,9,0
2504743,2005,16,0,0,0,0,0,3,-3,0,1483,84,9,1
2504747,2005,16,0,0,0,0,0,0,0,0,1055,83,5,0
2504775,2005,16,323,500,3576,24,15,21,49,1,0,0,0,5
2504778,2005,16,0,0,0,0,0,339,1462,18,370,2,329,1
2504833,2005,1,0,0,0,0,0,2,-2,0,0,0,0,0
2505033,2005,16,0,0,0,0,0,4,13,0,492,55,2,0
2505052,2005,16,0,0,0,0,0,71,288,1,48,0,146,0
2505062,2005,16,0,0,0,0,0,0,0,0,998,78,5,0
2505076,2005,9,163,270,1836,9,11,29,139,0,0,0,0,3
2505101,2005,7,98,168,1117,4,1,31,172,3,0,0,0,1
2505106,2005,16,0,0,0,0,0,0,0,0,582,60,5,1
2505245,2005,16,345,509,3836,32,12,34,41,1,0,0,0,2
2505299,2005,15,0,0,0,0,0,0,0,0,1101,89,10,0
2505354,2005,16,0,0,0,0,0,2,-2,0,0,0,0,0
2505380,2005,16,0,0,0,0,0,28,83,0,0,0,31,1
