profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost,position
497192,2011,15,0,0,0,0,0,43,134,0,139,13,0,3,RB
497192,2012,15,0,0,0,0,0,30,179,0,18,1,0,3,RB
497192,2014,2,0,0,0,0,0,1,3,0,64,6,2,0,RB
497204,2010,14,0,0,0,0,0,74,283,0,157,24,1,5,RB
497204,2011,16,0,0,0,0,0,107,561,4,269,39,2,2,RB
497204,2012,16,0,0,0,0,0,207,1244,6,459,43,2,3,RB
497204,2013,15,0,0,0,0,0,202,933,2,185,33,0,4,RB
497204,2014,9,0,0,0,0,0,78,300,0,125,19,1,3,RB
497204,2015,13,0,0,0,0,0,36,112,0,239,34,2,1,RB
497204,2016,6,0,0,0,0,0,6,18,0,50,6,1,1,RB
497204,2017,1,0,0,0,0,0,2,0,0,0,0,0,0,RB
497206,2010,3,0,0,0,0,0,29,101,0,15,2,0,0,RB
497206,2011,13,0,0,0,0,0,133,578,1,216,29,0,2,RB
497206,2012,6,0,0,0,0,0,71,255,1,31,4,0,1,RB
497206,2013,13,0,0,0,0,0,89,493,3,89,10,1,1,RB
497206,2014,16,0,0,0,0,0,85,333,2,140,18,0,1,RB
497206,2015,16,0,0,0,0,0,148,601,2,392,43,3,5,RB
497206,2016,9,0,0,0,0,0,63,145,0,134,19,2,1,RB
497208,2011,15,0,0,0,0,0,175,942,4,98,13,0,4,RB
497208,2012,11,0,0,0,0,0,65,279,2,49,11,0,1,RB
497208,2013,14,0,0,0,0,0,181,771,4,140,34,0,5,RB
497208,2014,11,0,0,0,0,0,119,371,4,60,9,0,0,RB
1037847,2010,11,0,0,0,0,0,35,160,0,10,3,0,4,RB
1037847,2011,12,0,0,0,0,0,63,130,0,120,14,0,1,RB
1037847,2012,3,0,0,0,0,0,0,0,0,0,0,0,0,RB
1037847,2013,7,0,0,0,0,0,12,51,0,-1,1,0,0,RB
2495161,2011,15,0,0,0,0,0,151,640,2,379,49,1,2,RB
2495161,2012,3,0,0,0,0,0,2,2,0,45,7,0,0,RB
2495161,2013,16,0,0,0,0,0,62,274,4,251,31,0,2,RB
2495161,2014,14,0,0,0,0,0,40,216,1,477,42,2,2,RB
2495161,2015,9,0,0,0,0,0,17,39,0,75,9,1,0,RB
2495172,2011,16,0,0,0,0,0,112,473,2,195,16,0,0,RB
2495172,2012,11,0,0,0,0,0,72,371,2,60,9,0,1,RB
2495172,2013,16,0,0,0,0,0,78,358,3,13,2,0,1,RB
2495172,2015,2,0,0,0,0,0,1,2,0,0,0,0,0,RB
2495207,2011,13,0,0,0,0,0,164,897,2,183,26,0,1,RB
2495207,2012,10,0,0,0,0,0,161,663,4,251,35,0,3,RB
2495207,2013,14,0,0,0,0,0,217,1121,9,350,53,1,3,RB
2495207,2014,16,0,0,0,0,0,392,1845,13,416,57,0,5,RB
2495207,2015,15,0,0,0,0,0,193,702,6,322,44,1,2,RB
2495207,2016,16,0,0,0,0,0,293,1287,9,377,53,3,3,RB
2495207,2017,15,0,0,0,0,0,184,659,6,266,39,1,1,RB
2495227,2011,11,0,0,0,0,0,5,16,0,13,2,0,1,RB
2495227,2012,4,0,0,0,0,0,6,9,0,0,0,0,0,RB
2495227,2013,5,0,0,0,0,0,20,73,0,102,11,1,0,RB
2495241,2011,13,0,0,0,0,0,165,581,0,72,12,1,2,RB
2495241,2012,12,0,0,0,0,0,91,325,4,156,15,0,3,RB
2495241,2013,15,0,0,0,0,0,109,406,4,63,15,2,0,RB
2495241,2014,12,0,0,0,0,0,44,168,2,121,13,0,1,RB
2495269,2011,16,0,0,0,0,0,101,377,2,18,5,0,3,RB
2495269,2012,10,0,0,0,0,0,32,122,3,13,1,0,1,RB
2495269,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,RB
2495328,2011,2,0,0,0,0,0,13,21,0,7,1,0,1,RB
2495328,2012,14,0,0,0,0,0,110,437,4,140,17,0,0,RB
2495328,2013,16,0,0,0,0,0,176,697,1,272,36,0,1,RB
2495328,2014,15,0,0,0,0,0,33,141,1,92,11,0,0,RB
2495328,2015,11,0,0,0,0,0,70,313,1,388,47,2,2,RB
2495328,2016,16,0,0,0,0,0,131,722,3,388,58,2,1,RB
2495328,2017,15,0,0,0,0,0,178,772,5,170,23,0,1,RB
2495328,2018,7,0,0,0,0,0,80,343,0,110,11,1,2,RB
2495461,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,RB
2495461,2012,16,0,0,0,0,0,59,233,2,158,24,0,2,RB
2495461,2013,3,0,0,0,0,0,4,2,0,0,0,0,0,RB
2495461,2014,10,0,0,0,0,0,10,19,0,0,0,0,0,RB
2495461,2015,11,0,0,0,0,0,78,273,1,176,27,0,1,RB
2495461,2016,16,0,0,0,0,0,74,196,4,263,29,2,1,RB
2495464,2011,13,0,0,0,0,0,17,44,1,32,4,0,1,RB
2495464,2012,10,0,0,0,0,0,19,30,3,8,1,0,0,RB
2495466,2011,10,0,0,0,0,0,122,474,5,46,11,0,1,RB
2495466,2012,16,0,0,0,0,0,156,602,5,29,6,0,0,RB
2495466,2013,11,0,0,0,0,0,78,386,1,68,7,0,0,RB
2495466,2014,13,0,0,0,0,0,226,964,9,145,29,0,3,RB
2495466,2015,12,0,0,0,0,0,166,769,6,405,50,0,2,RB
2495466,2016,16,0,0,0,0,0,205,1043,6,319,46,4,2,RB
2495466,2017,16,0,0,0,0,0,230,1124,12,416,58,0,3,RB
2495466,2018,12,0,0,0,0,0,138,645,6,170,21,1,3,RB
2495467,2011,10,0,0,0,0,0,16,73,0,25,2,0,0,RB
2495467,2012,14,0,0,0,0,0,6,21,0,11,2,0,1,RB
2495467,2013,16,0,0,0,0,0,5,23,0,55,2,0,2,RB
2495467,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,RB
2495467,2015,12,0,0,0,0,0,16,74,0,106,7,1,2,RB
2495467,2016,13,0,0,0,0,0,1,-8,0,43,4,0,0,RB
2495467,2017,8,0,0,0,0,0,0,0,0,11,1,0,0,RB
2495467,2018,6,0,0,0,0,0,0,0,0,0,0,0,0,RB
2495468,2012,14,0,0,0,0,0,215,798,9,214,34,0,3,RB
2495468,2013,3,0,0,0,0,0,2,9,0,0,0,0,0,RB
2495469,2011,15,0,0,0,0,0,23,102,1,-3,1,0,1,RB
2495469,2012,9,0,0,0,0,0,13,69,1,24,2,0,0,RB
2495469,2015,7,0,0,0,0,0,49,234,2,388,36,2,2,RB
2495469,2016,7,0,0,0,0,0,64,283,0,94,17,0,1,RB
2495469,2017,16,0,0,0,0,0,180,896,6,214,32,3,0,RB
2495469,2018,16,0,0,0,0,0,155,517,1,400,59,1,1,RB
2495470,2011,16,0,0,0,0,0,87,441,1,13,3,0,1,RB
2495470,2012,16,0,0,0,0,0,290,1263,12,51,6,0,4,RB
2495470,2013,14,0,0,0,0,0,178,773,7,62,10,0,4,RB
2495470,2014,6,0,0,0,0,0,94,340,2,20,4,0,0,RB
2495470,2015,8,0,0,0,0,0,36,90,0,-2,4,0,0,RB
2495470,2016,1,0,0,0,0,0,3,7,0,0,0,0,0,RB
2495470,2017,2,0,0,0,0,0,26,108,1,0,0,0,0,RB
2495470,2018,10,0,0,0,0,0,29,80,1,18,3,0,2,RB
